density,defector_frac,neighbourhood_count,activation_rate,H_tail_mean,H_tail_std,morans_I_mean,morans_I_std,nb_variance_mean,nb_variance_std,steps_mean,n_seeds
0.05,0.0,200,0.1111,0.9453217326319449,0.020072494611854,0.7734142076268749,0.12855168240263112,0.8814002972501646,0.06543974091594651,472.3,10
0.05,0.0,200,0.2222,0.9500846681060034,0.02670859401125216,0.7646333772114586,0.17495917182366652,0.8883469481357329,0.06199700452184904,468.1,10
0.05,0.0,200,0.3333,0.9531097364085925,0.026136548065384,0.6941654295058872,0.14275936297949998,0.9034993468258883,0.05363389737948937,434.4,10
0.05,0.0,200,0.4444,0.960076961184094,0.029014520899373952,0.7944223323891747,0.1187275502166717,0.8801899119988746,0.07057878303041316,410.9,10
0.05,0.0,200,0.5556,0.9648067915035121,0.01666614160392186,0.7403782047929719,0.12297679378450356,0.9411701426871579,0.05278253256802798,402.3,10
0.05,0.0,200,0.6667,0.9566957808935855,0.02778205694349828,0.7760290738414339,0.11118440581949414,0.8596750992172941,0.08218135034393001,367.3,10
0.05,0.0,200,0.7778,0.9528658715942345,0.030917656731169186,0.7669023956848482,0.1410144859939644,0.8982593892959605,0.06855376064206002,409.7,10
0.05,0.0,200,0.8889,0.9515457983505486,0.0253895345362225,0.7446691591457293,0.12553259828055355,0.8854164026349242,0.05910592782807976,348.7,10
0.05,0.0,200,1.0,0.9587959400480761,0.022840155620696644,0.7544477090346449,0.11211605423997875,0.9062004931166197,0.07618031640707504,447.5,10
0.05,0.1111,5,0.0,0.04048534390457142,0.016802727373821238,0.11462207730871107,0.12086332050073952,0.03894640155832008,0.0233933194368403,150.0,10
0.05,0.1111,5,0.1111,0.890985859536567,0.053845251530734904,0.6489761861946199,0.2802920003670324,0.8815594231724428,0.05592700104235072,472.4,10
0.05,0.1111,5,0.2222,0.8925854832095123,0.0365220928718212,0.4794968009600916,0.23646374111528873,0.9222604910884069,0.056913123380013225,500.0,10
0.05,0.1111,5,0.3333,0.898643178331932,0.04167850342774719,0.5963505794479265,0.23852554791466526,0.9056956464765735,0.04727217877459331,467.1,10
0.05,0.1111,5,0.4444,0.9073279329136577,0.033899256025836974,0.710903591583546,0.2304413469691919,0.933169907093369,0.04795767905508276,490.6,10
0.05,0.1111,5,0.5556,0.9035452364869917,0.030049073715134867,0.5843465642166012,0.2664915126837458,0.8969245207815264,0.03679554351614178,500.0,10
0.05,0.1111,5,0.6667,0.9034213658831511,0.038862724365815164,0.5560934880259654,0.232702441835578,0.8902750531573356,0.0480592636324253,500.0,10
0.05,0.1111,5,0.7778,0.8958221153235923,0.036449777731897046,0.5610112851886382,0.16640179105333983,0.8922164742727311,0.05161038635050737,500.0,10
0.05,0.1111,5,0.8889,0.9033856382605417,0.04165814704942647,0.5191205591151222,0.15022079264531313,0.9172305491022094,0.06932108215763731,499.1,10
0.05,0.1111,5,1.0,0.8953230200683269,0.04312297837164428,0.6031106296984695,0.2730157887525477,0.86987842990549,0.12860839483192066,500.0,10
0.05,0.1111,26,0.0,0.222388832004241,0.047609055123036245,0.04694886852800745,0.1412667800317406,0.30237224193176443,0.0674314785868618,150.0,10
0.05,0.1111,26,0.1111,0.929341890044746,0.022614112083789842,0.8594440568869619,0.15748855578460202,0.7938442030737863,0.09998649926326887,467.4,10
0.05,0.1111,26,0.2222,0.921413799780133,0.03969828468395925,0.8081826799325524,0.11763155213330963,0.8077144838031526,0.06617740549168716,475.0,10
0.05,0.1111,26,0.3333,0.9183450666812989,0.02983403228389381,0.803723082315807,0.1408813183723432,0.7933495039591685,0.127706852166513,405.2,10
0.05,0.1111,26,0.4444,0.9345969343386576,0.03779952460610747,0.8534623679517146,0.2656135422518307,0.8092369238670909,0.08826385727044933,393.7,10
0.05,0.1111,26,0.5556,0.9272297169723525,0.026060015556640212,0.8304829653312478,0.1100838695089251,0.7631194066095991,0.06312430082095245,439.4,10
0.05,0.1111,26,0.6667,0.9347947397958529,0.030999505619279128,0.8390673023674701,0.2315139948496876,0.7644525891319298,0.08488075690152523,369.0,10
0.05,0.1111,26,0.7778,0.9400726959984004,0.021990921695383362,0.8069115617068061,0.14834359898859753,0.79415450635157,0.0798221028109622,436.1,10
0.05,0.1111,26,0.8889,0.9279426192437498,0.02160596365963284,0.7969806384177007,0.11778108287940996,0.8159237664430415,0.09662856826880323,471.6,10
0.05,0.1111,26,1.0,0.9316557614309164,0.02224854647333291,0.8025657416626238,0.16473094201993232,0.7689169459628025,0.0538923394032374,436.8,10
0.05,0.1111,48,0.0,0.3604640312442381,0.039715671599731196,0.038153381509677745,0.1382404858010526,0.5033603948946561,0.05892943906527934,150.0,10
0.05,0.1111,48,0.1111,0.9334650618545088,0.030928407592294586,0.8110699950061078,0.13156462388907372,0.8089032737384351,0.06027103946760901,469.9,10
0.05,0.1111,48,0.2222,0.9543902057705738,0.026086185049103285,0.7588585545813709,0.13772477817990478,0.8640188651619685,0.05734004540810852,439.9,10
0.05,0.1111,48,0.3333,0.9380602569572805,0.024044698126036754,0.7708971965672481,0.122941562419797,0.8322291914748886,0.07142715395466742,410.8,10
0.05,0.1111,48,0.4444,0.9449104094849453,0.02591181339626352,0.7971404048289064,0.11930066496535392,0.8437803572582714,0.0777313573940387,442.9,10
0.05,0.1111,48,0.5556,0.9443313649966262,0.018190949580335233,0.7900017939861745,0.19196840058940498,0.8056540261222344,0.06829412524903639,442.9,10
0.05,0.1111,48,0.6667,0.9402010551789731,0.023932582754931656,0.8192954977935752,0.12061168482883325,0.842314409710357,0.05161389392193901,364.2,10
0.05,0.1111,48,0.7778,0.938445325663103,0.02694423657273865,0.8020349686392126,0.18150869916209633,0.8109926800307121,0.07046520363106083,443.0,10
0.05,0.1111,48,0.8889,0.930511735995054,0.02454049788907983,0.8636573558972463,0.17147032017288882,0.8093915253846141,0.06589132577482805,416.2,10
0.05,0.1111,48,1.0,0.943826884426765,0.02099833312473948,0.817418102167853,0.18151638811547202,0.7838881451534978,0.09503503938436496,370.8,10
0.05,0.1111,70,0.0,0.48182741462354617,0.040184610231996695,0.0733537028312689,0.1662529239993364,0.5926371106320921,0.07402660550885332,150.0,10
0.05,0.1111,70,0.1111,0.9429915592177828,0.02318873020882302,0.8101504140468648,0.1319601639074599,0.8213679399656671,0.08507497080824361,500.0,10
0.05,0.1111,70,0.2222,0.9429918326719251,0.018260772804035562,0.7982252170142441,0.16358857638494953,0.8487868166136909,0.0847955223360048,408.4,10
0.05,0.1111,70,0.3333,0.9343651176476065,0.0276910028536463,0.8559931502200456,0.11154226961240336,0.841125820528117,0.1105471933897145,443.0,10
0.05,0.1111,70,0.4444,0.9290191430158264,0.03184337832032803,0.8570530904185866,0.14906607353223808,0.8233936798742905,0.08121048650342538,452.2,10
0.05,0.1111,70,0.5556,0.9289868392754913,0.02371746192420615,0.7398298535959991,0.15888492991710762,0.8353655034206307,0.05897383753229053,426.7,10
0.05,0.1111,70,0.6667,0.9390609603252289,0.021712779976795115,0.8625145265648776,0.1502864614429269,0.7923144473467797,0.031180507172073792,449.8,10
0.05,0.1111,70,0.7778,0.9448382461925158,0.017076036237487102,0.8084271892443669,0.18734215618156846,0.8663187669364338,0.06561172395431773,432.1,10
0.05,0.1111,70,0.8889,0.9348278169087232,0.02625557814262173,0.8220713285913319,0.08632061603310863,0.8369181922690286,0.06673293401616959,366.4,10
0.05,0.1111,70,1.0,0.9434824162575562,0.03316761254107819,0.8421231088235631,0.1439018894540671,0.8406857712722431,0.10984418450474086,421.9,10
0.05,0.1111,91,0.0,0.5462703505871507,0.03886168372691136,0.05805930911732833,0.10161491027112732,0.6301182636824991,0.06547910975824045,150.0,10
0.05,0.1111,91,0.1111,0.9550780554988381,0.025491351832537822,0.7565928621394573,0.1639858049644925,0.9035408389244848,0.06157721148486255,462.9,10
0.05,0.1111,91,0.2222,0.9627632205753442,0.029425591147717423,0.861971041784078,0.15163195184342207,0.9148075212768132,0.08803250024949816,459.2,10
0.05,0.1111,91,0.3333,0.9507311819411779,0.03749162153325443,0.8279768610419845,0.14904294284477118,0.8899151221284545,0.08923468699752884,447.2,10
0.05,0.1111,91,0.4444,0.9606816418778037,0.02499649636890854,0.8260244590362605,0.06846003894957019,0.8819700617225404,0.06891028133918321,418.8,10
